Country Name,Country Code,PCA1,PCA2,KMeans_Cluster,Agg_Cluster
Lebanon,LBN,1.2376202735670356,0.3627051613634174,2,1
Lesotho,LSO,-3.322418021970513,1.9182186234728842,1,0
Liberia,LBR,-2.6229560702217345,-0.7378052117953491,1,0
Libya,LBY,0.7734562032039152,1.0915535042293076,2,1
Liechtenstein,LIE,0.7569576154457596,0.5979583844671974,2,1
Lithuania,LTU,1.0594439317286273,0.6492810216798361,2,1
Luxembourg,LUX,4.077385487665825,-1.3742881656100325,0,2
"Macao SAR, China",MAC,3.8637488174606296,-1.8339023934334837,0,2
Madagascar,MDG,-3.172117393783925,-0.6698731573827974,1,0
Malawi,MWI,-3.6035586517110354,-0.8531643189716784,1,0
Malaysia,MYS,1.4253679121361298,-0.6923949468715407,0,1
Maldives,MDV,0.3975453213209975,0.2954762821141066,2,1
Mali,MLI,-2.8159168004132797,-0.1438949224443276,1,0
Malta,MLT,2.2514396151219667,-0.0897863363514648,0,2
Marshall Islands,MHL,-0.5432337199715311,0.4642912316882019,2,1
Mauritania,MRT,-2.0393390854412163,0.5046978401295037,1,0
Mauritius,MUS,0.03227797103164628,0.3377315921802638,2,1
Mexico,MEX,0.5603219796087936,-0.2059673741530711,2,1
"Micronesia, Fed. Sts.",FSM,-1.5996499589594624,0.1602603587159185,1,0
Moldova,MDA,-0.6367582516751901,0.21399773675920256,2,1
Mongolia,MNG,-0.924222253107981,-0.29931075444062466,2,1
Montenegro,MNE,1.0597089931637056,1.6855690935648393,2,1
Morocco,MAR,-0.09097497821755507,0.8718387273337684,2,1
Mozambique,MOZ,-3.2502639764358965,-0.4762265540946442,1,0
Myanmar,MMR,-1.7575701876503103,-0.7576871407651842,1,0
Namibia,NAM,-2.0323734539557443,1.4726416039978298,1,0
Nauru,NRU,0.622722757645019,-0.0911358464073889,2,1
Nepal,NPL,-2.122154262541121,-0.5997319959000634,1,0
Netherlands,NLD,2.7379550571462326,-0.2078143267937057,0,2
New Caledonia,NCL,2.0874691721875465,0.8377204697105726,0,2
New Zealand,NZL,2.363189736185177,-0.18423630993702259,0,2
Nicaragua,NIC,-0.7598433610384433,0.08477172588005082,2,1
Niger,NER,-3.479833647397079,-1.0000860489574221,1,0
Nigeria,NGA,-3.017096047531137,-0.6476892891888704,1,0
North Macedonia,MKD,0.7652749330893577,3.3635182908482846,2,1
Norway,NOR,3.4082089270884466,-1.1424701753845237,0,2
Oman,OMN,2.5731244340991677,-1.195570792598034,0,2
Pakistan,PAK,-2.807760825927042,-2.1068185394369174,1,0
Palau,PLW,1.2832530570903402,-0.3311456596243625,2,2
